Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Vellore,11-08-2017,North,12.29,0.12,3.93,Tamil Nadu
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,11-08-2017,South,7.34,0.18,1.47,Tamil Nadu
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,06-12-2017,West,23.13,0.21,1.62,Tamil Nadu
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,10-11-2016,South,8.78,0.25,0.88,Tamil Nadu
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,10-11-2016,South,23.08,0.26,9.0,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,06-09-2015,West,22.59,0.26,3.16,Tamil Nadu
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,06-09-2015,West,8.09,0.33,3.4,Tamil Nadu
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,06-09-2015,West,18.1,0.32,1.45,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,06-09-2015,West,7.75,0.23,1.78,Tamil Nadu
OD10,Krithika,Bakery,Cakes,Chennai,06-09-2015,West,17.59,0.27,4.75,Tamil Nadu
OD11,Ganesh,Snacks,Chocolates,Karur,06-09-2015,West,18.65,0.13,4.29,Tamil Nadu
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,06-09-2015,West,6.87,0.1,3.02,Tamil Nadu
OD13,Sharon,Snacks,Cookies,Dindigul,4/15/2018,South,16.26,0.19,3.09,Tamil Nadu
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,12-05-2017,West,12.51,0.25,0.63,Tamil Nadu
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,11/22/2016,Central,8.14,0.22,2.04,Tamil Nadu
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,11/22/2016,Central,14.11,0.11,0.99,Tamil Nadu
OD17,Alan,Bakery,Cakes,Dharmapuri,11-11-2015,Central,16.44,0.28,3.12,Tamil Nadu
OD18,Arutra,Beverages,Health Drinks,Bodi,5/13/2015,West,15.85,0.19,1.11,Tamil Nadu
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,8/27/2015,West,17.22,0.35,3.79,Tamil Nadu
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,8/27/2015,West,6.78,0.29,1.56,Tamil Nadu
OD21,Hafiz,Beverages,Health Drinks,Vellore,8/27/2015,West,5.12,0.19,2.05,Tamil Nadu
OD22,Alan,Food Grains,Dals & Pulses,Karur,12-09-2017,Central,9.29,0.13,0.46,Tamil Nadu
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,12-09-2017,Central,6.93,0.34,1.46,Tamil Nadu
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,7/16/2018,East,9.5,0.29,0.76,Tamil Nadu
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,9/25/2016,West,10.78,0.11,4.85,Tamil Nadu
OD26,Krithika,Snacks,Chocolates,Tirunelveli,1/16/2017,West,19.82,0.11,1.98,Tamil Nadu
OD27,Muneer,Snacks,Cookies,Trichy,1/16/2017,West,5.3,0.12,0.42,Tamil Nadu
OD28,Jackson,Bakery,Biscuits,Viluppuram,9/17/2016,East,9.59,0.22,3.93,Tamil Nadu
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,9/17/2016,East,19.48,0.22,8.57,Tamil Nadu
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,9/17/2016,East,9.69,0.17,0.68,Tamil Nadu
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,9/17/2016,East,18.08,0.24,1.63,Tamil Nadu
OD32,Mathew,Snacks,Noodles,Vellore,9/17/2016,East,13.72,0.11,4.12,Tamil Nadu
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,9/17/2016,East,21.2,0.26,6.57,Tamil Nadu
OD34,Anu,Oil & Masala,Masalas,Madurai,9/17/2016,East,16.55,0.34,3.31,Tamil Nadu
OD35,Anu,Beverages,Health Drinks,Vellore,10/19/2018,Central,7.93,0.32,0.79,Tamil Nadu
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,12-08-2017,Central,12.4,0.22,5.58,Tamil Nadu
OD37,James,Beverages,Soft Drinks,Salem,12-08-2017,Central,9.15,0.35,0.55,Tamil Nadu
